departamento,municipio,nuestro_tiempo,fmln,n,pdc,vamos,pcn,gana,cd,leonardo_bonilla,impugnados,nulos,arena,coalicion_pcn,jesus_segovia,densidad,percent_urbano,masculinidad,relacion_dependencia,x60_anos_y_mas,tgf,tmi,tasa_analfabetismo,asistencia_escolar,agua_potable,electricidad,sin_servicio_sanitario,con_piso_de_tierra
san salvador,san salvador,13346,9392,95813,3280,5762,2050,5406,1221,696,188,3709,33964,0,0,4374.948096885813,100,83.9090491234807,52.36630771158908,13.022556866715176,1.8,19,5.5043464244614295,90.97801861644015,98.73832954832199,98.6844218108412,0.4576422820177552,2.7009869563061053
san salvador,ciudad delgado,1038,2394,33873,325,676,475,2650,251,117,28,978,4015,0,0,3596.648713345302,93.31198003327788,88.09758540287623,59.47566735657804,9.45424292845258,1.9,22,8.416881111682963,88.1,92.20952566982453,96.1942898069473,0.196577243293247,3.337257511388647
san salvador,mejicanos,3481,5560,43847,659,1841,698,2738,450,270,41,1641,7097,0,0,6363.065099457504,100,84.61084441646337,53.12170233134974,10.4830516301838,1.9,20,6.170123161812103,91.31919155134742,97.31613170643247,98.24356881946063,0.2486982202533613,3.469194312796209
san salvador,soyapango,2445,4343,77603,760,1892,1075,3757,725,241,225,2160,8038,0,0,8122.577388963661,100,85.453525801074,53.02302289611806,8.525163316114547,1.9,19,5.699788540728674,90.95898538900839,97.77007707608155,98.52840626553953,0.4102436598707111,2.0706772897439767
san salvador,cuscatancingo,529,1419,24397,191,657,343,1178,132,54,17,680,2240,0,0,12296.296296296296,100,86.42259531697457,59.09145362627884,7.54367469879518,2,18,7.10344306285196,89.8,94.07377428307123,98.01688251618872,0.5111176221636228,8.36550078085865
san salvador,san marcos,794,2267,21780,268,722,298,942,339,93,26,687,2391,0,0,4297.008837525493,100,88.1668254346273,57.57734400319099,9.76601433340189,2.1,25,7.501700515013118,87.97789037309995,89.97385037311054,97.46795076216596,0.39543338223100966,6.975032206613091
san salvador,ilopango,821,1223,28485,325,680,277,1872,186,69,69,753,3360,0,0,2999.1914524978342,100,85.01852643579878,57.27849538894863,7.743929444840268,1.9,21,6.8291980611412395,89.72481966337162,95.13841267549716,97.85613743819252,0.46558631392788824,5.045958196927726
san salvador,nejapa,168,1230,10109,94,183,643,357,85,20,3,308,704,0,0,353.38291746641073,56.11378912349786,94.21149789029536,65.02156741919221,7.912960825582186,2.6,29,16.647112501629515,84.78183753103937,52.0698051948052,89.27218614718615,6.452922077922079,22.570347599905418
san salvador,apopa,853,2059,43195,367,595,450,1889,223,86,30,1037,3580,0,0,2532.523148148148,100,87.24648429700203,58.726666021858975,6.931432140517649,2,20,9.338301500028736,88.08824728814942,90.46620046620046,94.83682983682984,0.372960372960373,5.1496208239393315
san salvador,san martin,441,1319,27004,278,466,253,1719,131,50,27,694,3689,0,0,1302.9727793696275,90.71717199483219,87.96631187351453,63.35428828019758,7.5510596772863465,2.1,23,9.90014165544499,88.64409181071125,78.79667141136538,94.59104346873973,0.45439614584473886,9.199059344307651
san salvador,panchimalco,323,2945,12165,113,212,375,508,64,32,17,403,2246,0,0,458.59731021451597,39.17595734367426,93.68164108341549,79.34451882117708,6.861366941347552,3.1,24,19.090761487254422,82.08328849671796,58.78617657833679,85.68811820735132,7.20478690926853,38.72708872146632
san salvador,aguilares,213,532,6458,287,73,292,584,27,15,11,197,856,0,0,630.693950177936,89.97037663986458,86.17701129300535,72.14667314230209,9.21145436591903,2.3,25,17.04730340463995,86.10177090338489,74.90226739640345,94.91790461297889,3.440187646598905,8.603839441535776
san salvador,tonacatepeque,374,1146,24044,171,342,297,1408,777,35,14,621,1948,0,0,1345.6106587712807,85.98618201020946,88.90228189035288,63.576158940397356,5.358871677521563,2.5,21,8.32517140058766,89.49824298634714,84.37792710242313,94.75463245774792,1.0384850335980453,6.557483379276796
san salvador,santo tomas,257,651,10006,153,179,121,554,115,21,5,253,2049,0,0,1042.1052631578948,73.98989898989899,92.10187220495717,63.267409650196484,8.554292929292929,2.2,21,9.73784627583131,91.8284789644013,59.47790479440368,91.91264289370415,0.8701586759938577,17.801047120418847
san salvador,santiago texacuangos,97,365,6779,48,64,74,361,49,15,2,148,1170,0,0,636.5661861074706,63.73275684578958,92.79547484370349,62.69994137844401,9.604694255713403,2.4,24,10.932393463633451,88.13972380178716,71.88900747065101,92.97758804695839,0.49092849519743864,16.8141592920354
san salvador,el paisnal,40,1017,4102,54,22,80,329,15,4,0,132,312,0,0,115.95346242728505,46.20301010239846,94.87076469800455,76.41852570320079,8.398048244106935,3.2,30,20.182338219520915,86.49556981362664,68.51582921870461,88.06273598605867,8.07435376125472,18.83419689119171
san salvador,guazapa,99,471,7493,143,103,579,389,70,25,0,201,643,0,0,359.87431264728986,62.11036409674321,94.2832909245123,70.20359637390399,8.373351960185104,2.8,27,17.69688131029841,85.92406125445773,90.29341206864736,86.7318693485883,4.650304484222182,17.03014753046825
san salvador,ayutuxtepeque,609,941,9790,149,326,148,610,93,44,12,313,1796,0,0,4127.229488703923,100,96.83565838720654,51.37374618403838,8.406799193316047,1.9,19,5.89127062473558,91.15173674588665,94.82431678750697,96.74288901282766,0.36809815950920244,6.734397677793905
san salvador,rosario de mora,37,926,3458,27,44,109,223,52,6,2,138,653,0,0,290.00764720876884,44.4141689373297,95.11233064654434,80.5586414854785,6.715302803902611,3.6,29,17.42826780021254,87.66333589546502,73.24243715381338,84.83170004260758,5.198125266297401,41.73752310536044
cuscatlan,cojutepeque,0,1028,17362,142,692,2040,153,0,0,18,257,1676,0,0,1600.859051861279,81.62973268409023,88.13565659587196,66.19322873658133,9.993043823909371,2.5,19,10.032094679303945,88.46314907872697,78.77200515242593,91.2065264061829,2.2241305281236583,15.95020875212618
cuscatlan,suchitoto,0,4319,6728,18,43,322,54,0,0,3,126,296,0,0,75.26418073606219,30.880335673363994,97.1994589863951,79.56965876983264,9.271362866134108,3.1,27,19.60529732537003,87.65646731571627,78.1195079086116,83.37434094903338,8.52372583479789,24.32156405018967
cuscatlan,san pedro perulapan,0,1315,15255,50,205,2914,100,0,0,26,271,2382,0,0,494.36339522546416,33.50771294433266,93.04302792283458,73.72223085288178,8.171249720545495,2.7,26,16.978206815854907,83.84288747346072,79.80925324675324,81.0166396103896,2.932224025974026,31.227662616154394
cuscatlan,san jose guayabal,0,207,3584,16,30,290,20,0,0,11,54,634,0,0,217.59475900795508,30.870967741935484,99.0582191780822,78.53714724515261,9.763440860215054,3.7,26,15.368421052631579,87.46223564954683,53.241836251774735,83.48319924278277,9.891150023663037,26.04848018468642
cuscatlan,tenancingo,0,912,2023,5,24,199,22,0,0,4,50,206,0,0,176.93712496738848,13.476850486582128,99.11920140927775,81.87181550013408,9.731642583308759,3.1,29,20.34816247582205,87.62278978388997,73.59586830213041,85.4099418979987,9.554551323434474,19.465290806754222
cuscatlan,san rafael cedros,0,772,5528,20,98,510,21,0,0,8,103,815,0,0,583.9548409168663,31.37852246763138,88.35797837122048,81.62374973398595,8.418770871169958,3.1,27,14.392698338403932,89.89402946497803,68.38235294117648,91.36710239651417,5.501089324618736,15.358690418873374
cuscatlan,candelaria,0,232,3765,20,66,555,21,0,0,4,67,480,0,0,274.70732371358565,35.65906838453915,93.18399387325293,72.39022723389714,9.474727452923688,2.5,30,14.313123561013047,89.30608365019012,73.34241598546775,81.56221616712081,2.588555858310627,28.455976180348785
cuscatlan,el carmen,0,185,4683,19,77,378,48,0,0,12,67,1721,0,0,2187.704918032787,15.548894717122518,92.5407589092483,84.24685903631092,7.328587485949795,3.5,33,17.91441119395363,87.52052545155993,76.51296829971182,74.27953890489914,8.93371757925072,33.99405351833499
cuscatlan,monte san juan,0,148,4082,90,71,996,25,0,0,7,90,550,0,0,384.07212622088656,15.708137715179967,91.49653493163514,84.18303008466943,7.844287949921752,3.2,30,19.747567709702864,85.69620253164557,78.07192807192807,78.42157842157842,10.38961038961039,48.8998652896273
cuscatlan,san cristobal,0,148,2978,10,48,552,17,0,0,4,81,1373,0,0,456.4215148188804,10.401635401635403,94.75409836065573,80.15597920277297,8.116883116883116,2.8,26,18.04140127388535,84.71030042918454,63.16440049443758,79.17181705809642,7.478368355995056,33.82687927107062
cuscatlan,santa cruz michapa,0,198,4155,19,51,602,23,0,0,7,55,450,0,0,411.8057981138666,56.480067854113656,89.97744118594908,72.16705607476635,8.08312128922816,2.7,27,17.13568935427574,85.02736512900704,80.9683426443203,85.81005586592178,4.655493482309125,29.719934102141682
cuscatlan,san bartolome perulapia,0,426,3081,14,24,122,36,0,0,0,45,500,0,0,654.5897644191714,58.103747828245226,93.79509379509379,70.03587254695083,8.811119384462646,2.7,25,9.824,89.02365069739236,64.85377116469985,89.53309389430477,2.9758850692662904,20.9366391184573
cuscatlan,san ramon,0,210,2337,11,70,363,27,0,0,0,31,351,0,0,400.5092297899427,20.041322314049587,90.95599393019727,78.80079568059108,9.869675778766688,3.7,25,10.106051154086089,91.07276819204802,32.213294375456535,85.90211833455076,1.8261504747991233,22.99807815502883
cuscatlan,el rosario,0,8,1024,0,29,217,2,0,0,2,23,259,0,0,296.97396199859253,10.071090047393366,90.2614968440036,84.68271334792122,9.004739336492891,3.5,36,19.918571875978703,86.56429942418427,71.36563876651982,81.27753303964758,16.519823788546255,36.87615526802218
cuscatlan,oratorio de concepcion,0,69,1484,8,6,467,6,0,0,1,12,82,0,0,147.12171052631578,24.007825600894353,96.80968096809681,79.34837092731829,9.446618222470654,3.9,28,13.157894736842104,92.37187127532776,42.43964421855146,87.67471410419314,2.0330368487928845,23.4375
cuscatlan,santa cruz analquito,0,50,1070,6,14,212,18,0,0,3,22,63,0,0,218.88230313293818,69.90328820116054,98.54070660522274,80.2649930264993,10.096711798839458,2.7,26,17.097919837645865,83.24225865209472,46.15384615384615,80.76923076923077,6.461538461538462,14.285714285714285
ahuachapan,ahuachapan,0,1653,32330,470,0,6520,2459,381,0,52,754,3230,0,0,451.36007188367915,57.89559410375438,91.51690553350778,68.33358720487433,8.648007890617224,2.5,24,18.112913178637545,84.08727803898297,84.39751458087143,83.22342088209507,4.623946937064003,37.05816035546124
ahuachapan,atiquizaya,0,458,10521,50,0,724,329,36,0,1,216,1659,0,0,504.0066026410564,62.11927233751153,93.59617269006858,65.10347539694243,10.319468842111531,2.2,25,15.277099380048845,88.08792629707452,76.24548736462093,81.93742478941036,4.681107099879664,35.96537527710335
ahuachapan,san francisco menendez,0,438,6549,62,0,6452,3433,39,0,42,382,647,0,0,188.41816654137,29.093810876147113,95.1048630826999,88.05225758043872,7.684183350153731,3.1,31,27.061364502604494,78.18320756519248,49.46167097329888,76.2489233419466,11.11111111111111,34.20915260135723
ahuachapan,tacuba,0,845,6142,23,0,4756,242,72,0,26,186,691,0,0,199.0798773169756,16.37417107642843,98.49754022071534,89.38221489280731,6.487373568222922,3.7,31,25.936030103480718,81.14541257934218,72.54623044096729,45.785917496443815,9.779516358463727,45.582112567463376
ahuachapan,concepcion de ataco,0,864,3497,19,0,43,416,12,0,7,106,2011,0,0,209.50352285761102,46.1598623494447,96.40552995391704,76.21278941565602,8.900359768496793,2.6,31,22.52206033244408,85.84005869405723,55.803415824329036,63.05332868595329,3.1718368769606133,39.363542026980284
ahuachapan,jujutla,0,209,7251,36,0,1079,257,27,0,32,189,2592,0,0,108.3500663004357,24.158187349208013,95.64235873580516,87.19073177117423,7.720549669568866,3.4,30,28.926126976634407,78.39885632594711,57.87802840434419,59.09774436090226,13.968253968253968,42.01528839471855
ahuachapan,guaymango,0,3168,4868,22,0,245,239,13,0,1,101,978,0,0,316.0717250539598,6.876083416504701,99.34031413612566,79.49273995851405,6.970636129642275,2.8,33,33.734769056389915,87.99531066822978,64.57055214723927,42.740286298568506,18.021472392638035,65.5830870652421
ahuachapan,apaneca,0,134,2938,10,0,259,213,10,0,19,49,841,0,0,185.7522712164857,35.10676368841704,95.18044237485448,70.73319755600814,9.340331623523799,2.6,28,17.166128784386046,88.6337543053961,83.95748987854252,77.42914979757086,1.9736842105263157,34.958641706573786
ahuachapan,san pedro puxtla,0,299,2261,3,0,467,439,1,0,15,52,1150,0,0,189.03210116731518,24.276341181011194,99.66606730028256,81.65459219443795,9.430078476778593,2.8,30,26.224383466481417,81.33414932680539,71.32397803538744,58.75533862111043,2.684563758389262,57.03664365374402
ahuachapan,san lorenzo,0,153,2489,14,0,1206,650,295,0,9,106,234,0,0,190.23380922822264,12.257994344137481,102.64491955036368,69.97596598262156,9.723732869262562,2.5,28,20.036455412226584,84.30393788130893,69.1016333938294,81.12522686025409,7.713248638838476,46.11632270168855
ahuachapan,turin,0,71,2763,85,0,1284,199,18,0,1,57,243,0,0,430.2725968436155,71.16816716683338,90.05069708491762,65.78220011055832,9.336445481827276,2.5,28,14.39223410241981,91.43835616438356,93.63476733977173,88.67427568042142,2.5899912203687445,31.542857142857144
ahuachapan,el refugio,0,61,3565,10,0,968,149,9,0,1,43,318,0,0,742.1435059037238,77.28552196793538,91.13450292397661,63.13373253493014,8.848366173051033,2.2,28,14.234765079857342,91.08159392789373,83.19532391622016,88.1636629322942,2.143205065757428,31.971830985915496
morazan,san francisco gotera,0,901,5140,197,0,645,1678,0,0,4,224,1087,0,0,352.22556894243644,72.72079433702314,89.034575662326,70.28557560067956,10.290275072449997,2.3,25,20.444553004396678,87.15277777777779,87.08,88.94,8.9,18.041063614944463
morazan,jocoro,0,725,3847,24,0,88,445,0,0,5,131,556,0,0,158.27564505978603,30.357852882703778,86.50352243233222,73.38848672871424,13.359840954274354,2,23,20.11046949535526,85.80278781621064,52.590266875981165,90.58084772370488,14.207221350078491,21.337480559875583
