country,year,sidea,sideb,region,extortion,smuggling,cannabis_extortion,coca_extortion,diamondsalluvial_extortion,drugs_extortion,gems_extortion,opium_extortion,timber_extortion,cannabis_smuggling,coca_smuggling,diamondsalluvial_smuggling,drugs_smuggling,gems_smuggling,opium_smuggling,timber_smuggling,external_support,forcedrecruit,abduction
Algeria,1992,Algeria,AIS,Middle East & North Africa,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1
Algeria,1992,Algeria,AIS,Middle East & North Africa,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1
Algeria,1992,Algeria,AIS,Middle East & North Africa,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1
Algeria,1992,Algeria,AIS,Middle East & North Africa,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1
Algeria,1992,Algeria,AIS,Middle East & North Africa,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1
Algeria,1992,Algeria,AIS,Middle East & North Africa,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1
Algeria,1993,Algeria,AIS,Middle East & North Africa,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1
Algeria,1993,Algeria,AIS,Middle East & North Africa,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1
Algeria,1993,Algeria,AIS,Middle East & North Africa,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1
Algeria,1993,Algeria,AIS,Middle East & North Africa,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1
Algeria,1993,Algeria,AIS,Middle East & North Africa,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1
Algeria,1993,Algeria,AIS,Middle East & North Africa,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1
Algeria,1994,Algeria,AIS,Middle East & North Africa,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,1
Algeria,1994,Algeria,AIS,Middle East & North Africa,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,1
Algeria,1994,Algeria,AIS,Middle East & North Africa,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,1
Algeria,1994,Algeria,AIS,Middle East & North Africa,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,1
Algeria,1994,Algeria,AIS,Middle East & North Africa,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,1
Algeria,1994,Algeria,AIS,Middle East & North Africa,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,1
Algeria,1995,Algeria,AIS,Middle East & North Africa,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,1
Algeria,1995,Algeria,AIS,Middle East & North Africa,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,1
Algeria,1995,Algeria,AIS,Middle East & North Africa,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,1
Algeria,1995,Algeria,AIS,Middle East & North Africa,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,1
Algeria,1995,Algeria,AIS,Middle East & North Africa,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,1
Algeria,1995,Algeria,AIS,Middle East & North Africa,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,1
Algeria,1996,Algeria,AIS,Middle East & North Africa,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1
Algeria,1996,Algeria,AIS,Middle East & North Africa,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1
Algeria,1996,Algeria,AIS,Middle East & North Africa,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1
Algeria,1996,Algeria,AIS,Middle East & North Africa,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1
Algeria,1996,Algeria,AIS,Middle East & North Africa,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1
Algeria,1996,Algeria,AIS,Middle East & North Africa,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1
Algeria,1997,Algeria,AIS,Middle East & North Africa,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1
Algeria,1997,Algeria,AIS,Middle East & North Africa,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1
Algeria,1997,Algeria,AIS,Middle East & North Africa,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1
Algeria,1997,Algeria,AIS,Middle East & North Africa,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1
Algeria,1997,Algeria,AIS,Middle East & North Africa,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1
Algeria,1997,Algeria,AIS,Middle East & North Africa,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1
Algeria,1991,Algeria,Takfir wa'l Hijra,Middle East & North Africa,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0
Algeria,1993,Algeria,GIA,Middle East & North Africa,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0
Algeria,1993,Algeria,GIA,Middle East & North Africa,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0
Algeria,1993,Algeria,GIA,Middle East & North Africa,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0
Algeria,1993,Algeria,GIA,Middle East & North Africa,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0
Algeria,1993,Algeria,GIA,Middle East & North Africa,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0
Algeria,1993,Algeria,GIA,Middle East & North Africa,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0
Algeria,1993,Algeria,GIA,Middle East & North Africa,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0
Algeria,1993,Algeria,GIA,Middle East & North Africa,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0
Algeria,1993,Algeria,GIA,Middle East & North Africa,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0
Algeria,1993,Algeria,GIA,Middle East & North Africa,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0
Algeria,1993,Algeria,GIA,Middle East & North Africa,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0
Algeria,1994,Algeria,GIA,Middle East & North Africa,0,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0,1,1,0
Algeria,1994,Algeria,GIA,Middle East & North Africa,0,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0,1,1,0
Algeria,1994,Algeria,GIA,Middle East & North Africa,0,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0,1,1,0
Algeria,1994,Algeria,GIA,Middle East & North Africa,0,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0,1,1,0
Algeria,1994,Algeria,GIA,Middle East & North Africa,0,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0,1,1,0
Algeria,1994,Algeria,GIA,Middle East & North Africa,0,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0,1,1,0
Algeria,1994,Algeria,GIA,Middle East & North Africa,0,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0,1,1,0
Algeria,1994,Algeria,GIA,Middle East & North Africa,0,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0,1,1,0
Algeria,1994,Algeria,GIA,Middle East & North Africa,0,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0,1,1,0
Algeria,1994,Algeria,GIA,Middle East & North Africa,0,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0,1,1,0
Algeria,1994,Algeria,GIA,Middle East & North Africa,0,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0,1,1,0
Algeria,1995,Algeria,GIA,Middle East & North Africa,0,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0,1,1,0
Algeria,1995,Algeria,GIA,Middle East & North Africa,0,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0,1,1,0
Algeria,1995,Algeria,GIA,Middle East & North Africa,0,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0,1,1,0
Algeria,1995,Algeria,GIA,Middle East & North Africa,0,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0,1,1,0
Algeria,1995,Algeria,GIA,Middle East & North Africa,0,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0,1,1,0
Algeria,1995,Algeria,GIA,Middle East & North Africa,0,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0,1,1,0
