rankord,armybranch,age,waittime,comdur,planrepprop,nvictims,ndisappear,nexecut
Colonel,Artillery,47.5,311,23,1,130,76,54
Colonel,Artillery,47.58333206176758,322,35,0.08571428805589676,22,21,1
Colonel,Infantry,47.08333206176758,309,16,0,0,0,0
Lt. Colonel,Infantry,43.58333206176758,286,24,1,386,347,39
Lt. Colonel,Infantry,45.33333206176758,274,24,0.125,132,116,16
Lt. Colonel,Infantry,46.25,274,11,0,5,4,1
Lt. Colonel,Infantry,42.75,261,16,0,1,1,0
Colonel,Infantry,45.58333206176758,310,24,1,540,446,94
Colonel,Infantry,49.16666793823242,322,15,0.20000000298023224,62,59,3
Colonel,Infantry,48.33333206176758,325,9,0,2,1,1
Lt. Colonel,Infantry,43.66666793823242,274,11,0,0,0,0
Lt. Colonel,Infantry,44.91666793823242,261,16,0,0,0,0
Colonel,Artillery,46,286,13,1,76,70,6
Colonel,Artillery,44.08333206176758,287,26,0.5384615659713745,173,164,9
Colonel,Artillery,43.91666793823242,277,20,0,9,8,1
Colonel,Artillery,44.91666793823242,285,16,0,1,1,0
Colonel,Infantry,45.5,286,13,1,40,36,4
Colonel,Infantry,44.16666793823242,287,11,1,7,7,0
Colonel,Infantry,39.83333206176758,226,15,0.20000000298023224,3,3,0
Colonel,Infantry,47,301,20,0,1,1,0
Colonel,Infantry,42.91666793823242,273,16,0,1,1,0
Colonel,Communications,46.33333206176758,286,13,1,19,16,3
Colonel,Communications,46.66666793823242,287,11,1,46,42,4
Colonel,Communications,44.83333206176758,286,15,0.20000000298023224,17,14,3
Colonel,Communications,47.66666793823242,301,18,0,2,2,0
Lt. Colonel,Cavalry,45,274,13,1,3,2,1
Lt. Colonel,Cavalry,46.33333206176758,299,26,0.5384615659713745,5,4,1
Lt. Colonel,Cavalry,45.25,277,20,0,0,0,0
Lt. Colonel,Cavalry,45.75,285,16,0,0,0,0
Colonel,Cavalry,47.41666793823242,322,13,1,2,2,0
Colonel,Cavalry,47.58333206176758,311,26,0.5384615659713745,1,1,0
Colonel,Cavalry,47.25,325,20,0,0,0,0
Colonel,Cavalry,45,273,16,0,0,0,0
Colonel,Cavalry,47.91666793823242,310,24,1,6,6,0
Colonel,Cavalry,48.08333206176758,322,24,0.125,0,0,0
Colonel,Cavalry,49.66666793823242,334,23,0,0,0,0
Colonel,Cavalry,49.75,333,4,0,0,0,0
Colonel,Cavalry,43.91666793823242,274,24,1,9,7,2
Colonel,Cavalry,44.08333206176758,274,24,0.125,3,1,2
Colonel,Cavalry,44.41666793823242,274,23,0,0,0,0
Colonel,Cavalry,43.08333206176758,273,4,0,0,0,0
Lt. Colonel,Artillery,43.75,286,24,1,0,0,0
Lt. Colonel,Artillery,47.33333206176758,298,24,0.125,0,0,0
Lt. Colonel,Artillery,44.25,274,25,0,0,0,0
Lt. Colonel,Artillery,45.75,286,13,1,4,2,2
Lt. Colonel,Artillery,44.08333206176758,287,11,1,4,4,0
Lt. Colonel,Artillery,44.91666793823242,298,24,0.125,0,0,0
Lt. Colonel,Artillery,46.16666793823242,274,23,0,0,0,0
Lt. Colonel,Artillery,46.08333206176758,297,4,0,0,0,0
Lt. Colonel,Engineering,46.08333206176758,286,24,1,46,36,10
Lt. Colonel,Engineering,45.33333206176758,286,24,0.125,2,2,0
Lt. Colonel,Engineering,45.41666793823242,274,25,0,0,0,0
Major,Artillery,37.41666793823242,190,19,0.15789473056793213,0,0,0
Major,Artillery,37.66666793823242,209,5,0,0,0,0
Major,Artillery,35.33333206176758,178,13,0,0,0,0
Colonel,Cavalry,49.41666793823242,322,24,1,0,0,0
Colonel,Cavalry,47.66666793823242,322,25,0.11999999731779099,1,1,0
Lt. Colonel,Artillery,43.75,286,13,1,69,50,19
Lt. Colonel,Artillery,44.5,287,26,0.5384615659713745,148,132,16
Lt. Colonel,Artillery,45.83333206176758,277,20,0,13,13,0
Lt. Colonel,Artillery,44.75,273,16,0,0,0,0
Lt. Colonel,Artillery,46.41666793823242,299,23,1,2,1,1
Lt. Colonel,Artillery,45.75,274,24,0.125,5,5,0
Lt. Colonel,Artillery,43.16666793823242,274,23,0,1,1,0
Lt. Colonel,Artillery,45.58333206176758,285,4,0,0,0,0
Brig. Gen.,NA,NA,NA,14,1,71,65,6
Brig. Gen.,NA,NA,NA,23,0.47826087474823,81,75,6
Brig. Gen.,NA,NA,NA,20,0,0,0,0
Brig. Gen.,NA,NA,NA,14,1,25,21,4
Brig. Gen.,NA,NA,NA,12,0.9166666865348816,22,20,2
Brig. Gen.,NA,NA,NA,14,0,5,5,0
Brig. Gen.,NA,NA,NA,26,0.9615384340286255,43,40,3
Brig. Gen.,NA,NA,NA,11,0,4,4,0
Brig. Gen.,NA,NA,NA,20,0,0,0,0
Colonel,NA,NA,NA,12,1,28,26,2
Colonel,NA,NA,NA,13,0,8,7,1
Colonel,NA,NA,NA,12,1,3,3,0
Colonel,NA,NA,NA,13,0.9230769276618958,0,0,0
Brig. Gen.,NA,NA,NA,1,1,0,0,0
Brig. Gen.,NA,NA,NA,12,1,48,31,17
Brig. Gen.,NA,NA,NA,13,0.9230769276618958,19,17,2
Brig. Gen.,NA,NA,NA,14,0,3,3,0
Colonel,NA,NA,NA,12,1,0,0,0
Colonel,NA,NA,NA,12,1,0,0,0
Colonel,NA,NA,NA,13,0,1,1,0
Brig. Gen.,Infantry,50.16666793823242,345,2,1,36,32,4
Brig. Gen.,Cavalry,47.91666793823242,347,1,1,22,19,3
Brig. Gen.,Cavalry,51.08333206176758,348,31,0.5806451439857483,218,210,8
Brig. Gen.,Infantry,52.08333206176758,379,22,0,9,9,0
Brig. Gen.,Infantry,52.75,396,13,0,0,0,0
Colonel,Infantry,46.58333206176758,310,24,1,296,260,36
Colonel,Infantry,47.66666793823242,322,24,0.125,62,60,2
Colonel,Infantry,49.83333206176758,334,20,0,8,7,1
Colonel,Cavalry,47.33333206176758,328,18,1,156,141,15
Colonel,Cavalry,47.83333206176758,322,15,0.20000000298023224,24,23,1
Colonel,Cavalry,47.5,313,32,0,3,2,1
Colonel,Cavalry,50.16666793823242,333,4,0,0,0,0
Colonel,NA,NA,NA,37,0.6486486196517944,44,41,3
Colonel,NA,NA,NA,22,0,1,1,0
Colonel,NA,NA,NA,13,0,0,0,0
Colonel,Artillery,47.08333206176758,287,23,1,165,140,25
Colonel,Artillery,49.66666793823242,286,24,0.125,62,57,5
Colonel,Infantry,44.5,286,26,0,1,1,0
Colonel,Infantry,44.58333206176758,288,1,0,0,0,0
Colonel,Artillery,44.91666793823242,286,24,1,219,178,41
Colonel,Artillery,45,298,15,0.20000000298023224,52,49,3
Colonel,Artillery,43.41666793823242,277,20,0,5,5,0
Colonel,Artillery,44.75,273,12,0,0,0,0
Colonel,Artillery,44.91666793823242,273,4,0,0,0,0
Brig. Gen.,NA,NA,NA,12,1,44,37,7
Brig. Gen.,NA,NA,NA,20,0.6000000238418579,78,76,2
Brig. Gen.,NA,NA,NA,16,0,6,6,0
Maj. Gen.,NA,NA,NA,11,0,1,0,1
Maj. Gen.,NA,NA,NA,13,0,0,0,0
Lt. Colonel,Communications,46.16666793823242,286,13,1,155,86,69
Lt. Colonel,Communications,46.08333206176758,287,26,0.5384615659713745,218,134,84
Lt. Colonel,Communications,43.91666793823242,289,20,0,2,1,1
Lt. Colonel,Communications,46.33333206176758,285,16,0,2,1,1
