sex,hhsize,age_num,displace,yrs_dis,other_victim,endorse_coca,rest_yn,dis_return
female,8,40,1,4,0,agree,0,1
female,5,58,1,11,0,disagree,0,0
male,2,36,0,,1,disagree,0,
male,6,40,1,16,1,disagree,0,1
female,4,38,1,5,0,neutral,0,0
female,5,48,1,5,0,agree,1,0
male,3,58,0,,0,agree,0,
male,6,71,0,,1,neutral,0,
female,2,24,0,,1,neutral,0,
male,4,38,1,17,0,strong disagree,1,0
female,3,29,0,,0,agree,0,
female,4,45,1,14,0,disagree,0,0
female,6,55,0,,1,agree,0,
female,4,30,1,15,0,neutral,0,0
male,4,52,0,,0,neutral,0,
male,3,39,0,,1,neutral,0,
female,5,51,1,17,1,disagree,0,1
male,6,44,0,,1,strong agree,0,
female,4,24,0,,0,neutral,0,
male,1,57,0,,0,agree,0,
male,8,68,0,,0,,0,
female,2,75,0,,1,agree,0,
male,4,48,0,,1,,0,
male,3,55,1,20,1,strong agree,0,0
female,3,54,1,16,1,agree,0,1
male,4,53,1,18,1,agree,0,0
female,9,54,0,,1,agree,1,
male,5,49,1,5,0,agree,0,1
male,3,37,1,15,0,agree,0,0
female,6,53,0,,0,agree,0,
female,4,35,1,19,1,agree,0,1
female,4,55,0,,1,disagree,0,
female,4,40,0,,0,neutral,0,
female,5,57,0,,1,neutral,0,
male,5,48,1,18,1,disagree,0,0
female,2,45,1,18,1,neutral,0,0
male,4,62,1,27,1,disagree,0,0
male,4,26,1,17,1,strong agree,1,1
male,8,32,1,20,1,agree,0,1
female,5,25,1,,0,neutral,0,0
female,4,42,1,7,0,agree,0,1
female,4,64,1,18,0,agree,0,1
male,7,43,1,14,0,agree,0,1
female,5,42,0,,1,agree,0,
female,5,32,0,,0,disagree,0,
female,9,45,1,20,1,agree,0,0
male,4,35,0,,1,disagree,0,
female,2,49,1,12,0,disagree,0,1
male,7,67,0,,0,agree,0,
female,3,31,0,,0,strong agree,0,
male,8,59,0,,1,disagree,0,
female,4,71,0,,0,strong agree,0,
female,6,33,0,,0,,0,
male,4,48,0,,0,agree,0,
male,2,71,0,,1,neutral,0,
female,3,45,1,14,0,agree,0,0
male,5,42,0,,0,agree,0,
male,5,36,1,16,1,strong disagree,0,1
male,4,45,0,,0,disagree,0,
female,4,26,1,19,1,strong agree,1,1
female,7,48,1,9,1,,0,0
male,5,55,0,,0,neutral,0,
female,6,45,1,2,1,disagree,1,0
female,4,38,0,,1,agree,0,
female,4,33,0,,0,agree,0,
male,4,72,0,,1,agree,0,
female,3,49,0,,1,agree,0,
male,4,44,0,,0,agree,0,
male,6,45,0,,0,neutral,0,
male,3,47,0,,1,agree,0,
female,3,36,0,,0,neutral,0,
female,6,61,0,,1,disagree,0,
male,4,49,1,30,0,agree,0,0
female,5,23,1,4,0,disagree,0,1
female,4,23,0,,1,agree,0,
male,4,38,0,,0,strong agree,1,
male,6,61,0,,1,strong agree,0,
female,1,70,1,16,0,agree,0,0
female,4,46,0,,0,neutral,0,
female,6,35,0,,0,agree,0,
male,3,,0,,0,strong agree,0,
male,5,34,0,,1,strong agree,0,
male,3,74,1,13,1,disagree,0,1
male,7,60,1,19,1,agree,0,1
female,5,42,1,11,1,agree,0,1
female,4,32,0,,0,agree,0,
female,5,33,0,,1,agree,0,
male,3,53,0,,1,disagree,0,
male,4,40,0,,0,strong agree,0,
female,5,59,1,18,0,agree,0,1
male,4,40,1,,0,neutral,0,0
male,5,27,0,,0,disagree,0,
female,3,56,0,,0,agree,0,
male,7,49,0,,0,disagree,0,
male,3,44,0,,1,,0,
male,3,36,0,,0,disagree,0,
male,5,41,0,,1,agree,0,
male,1,72,0,,0,agree,0,
female,7,43,0,,0,disagree,0,
male,3,42,1,15,0,strong agree,0,0
male,4,53,0,,0,agree,0,
male,4,63,0,,0,strong agree,0,
female,5,45,1,12,0,strong agree,0,0
female,2,57,0,,1,neutral,0,
male,7,23,0,,0,disagree,0,
female,2,55,0,,0,neutral,0,
female,3,34,0,,1,strong agree,0,
female,7,42,1,8,1,neutral,0,1
female,3,82,0,,1,strong agree,0,
male,2,95,1,62,0,neutral,0,1
male,4,34,1,14,0,neutral,0,1
female,6,61,0,,0,neutral,0,
female,6,76,1,67,0,neutral,0,0
female,5,30,0,,0,agree,0,
female,5,28,0,,0,agree,0,
female,10,54,0,,0,disagree,0,
male,5,50,0,,1,strong disagree,0,
male,2,66,0,,0,agree,1,
male,6,63,0,,0,disagree,0,
female,2,60,0,,0,agree,0,
female,3,49,1,7,1,,0,1
male,8,64,0,,0,agree,0,
male,5,52,1,15,1,agree,0,0
male,5,83,1,9,1,strong agree,0,0
male,4,36,0,,0,neutral,0,
female,5,62,0,,1,agree,0,
female,4,68,1,13,1,neutral,0,1
male,6,67,1,8,0,agree,0,0
female,10,51,0,,0,agree,0,
female,3,53,0,,0,strong agree,0,
female,4,52,1,12,0,strong agree,0,0
male,2,65,0,,0,disagree,0,
female,2,63,1,8,1,agree,0,1
male,5,67,0,,0,agree,0,
male,4,79,1,14,0,neutral,0,1
male,3,57,1,19,1,agree,0,1
female,5,25,1,16,1,neutral,0,1
male,2,70,1,16,0,disagree,1,1
female,8,54,1,16,0,agree,0,0
male,4,37,0,,0,neutral,0,
male,5,27,1,17,0,disagree,0,1
female,5,27,,,0,neutral,0,
male,2,39,1,14,1,agree,0,1
female,5,46,1,17,0,agree,0,1
male,2,31,0,,0,agree,0,
female,5,67,1,17,0,agree,1,1
male,4,31,0,,0,agree,0,
male,4,59,1,12,1,strong agree,1,0
male,4,63,0,,0,strong agree,0,
female,3,48,0,,0,agree,0,
male,3,54,0,,0,strong agree,0,
female,3,49,0,,0,disagree,0,
female,4,32,0,,0,agree,0,
male,6,30,1,14,0,agree,0,1
female,3,19,0,,0,agree,0,
female,6,66,1,17,1,agree,1,1
female,3,43,1,13,0,strong agree,0,0
male,8,59,1,14,0,agree,1,1
male,2,71,1,11,0,agree,0,1
male,6,41,0,,0,agree,0,
female,4,35,1,,,disagree,0,1
female,5,30,1,5,0,disagree,0,1
male,6,34,1,18,0,agree,1,1
female,4,38,1,12,0,agree,0,1
male,2,63,0,,0,strong disagree,0,
male,5,52,0,,1,disagree,0,
female,6,35,1,16,1,agree,0,0
male,3,30,1,20,0,disagree,0,1
male,5,51,1,12,0,neutral,0,1
male,3,74,0,,1,agree,0,
female,4,29,1,13,1,agree,0,0
female,2,65,0,,1,,0,
female,2,22,0,,0,neutral,0,
female,4,50,0,,1,neutral,0,
male,3,61,0,,1,agree,0,
female,3,27,0,,0,disagree,0,
female,13,64,0,,1,neutral,0,
female,4,20,1,8,1,neutral,1,1
female,11,47,1,9,0,disagree,1,0
female,3,20,0,,0,strong disagree,0,
female,5,43,1,6,1,,0,0
female,7,42,1,15,1,agree,0,0
male,5,43,1,9,0,agree,0,1
female,2,71,0,,0,strong agree,0,
female,4,45,0,,1,agree,0,
female,6,59,1,15,1,agree,0,0
male,7,44,1,17,1,agree,0,0
male,3,36,1,13,0,strong agree,0,1
male,1,50,0,,1,agree,0,
male,9,69,1,9,1,agree,0,1
female,5,34,1,15,0,strong agree,0,0
female,4,68,1,17,1,agree,1,1
female,5,51,0,,1,agree,0,
male,5,55,0,,1,strong disagree,1,
male,2,27,0,,1,agree,0,
female,6,39,0,,0,agree,0,
female,3,20,0,,0,disagree,0,
male,3,30,1,17,0,disagree,0,0
male,4,37,0,,0,,0,
female,6,23,1,15,0,agree,0,1
male,6,50,0,,0,strong agree,0,
female,6,50,0,,0,neutral,0,
male,4,23,0,,0,disagree,0,
female,5,53,0,,0,,0,
male,2,53,0,,1,strong agree,0,
female,5,42,1,8,1,agree,0,0
female,5,36,,,1,,0,
female,2,61,1,22,0,,0,1
female,6,40,1,14,0,strong agree,0,0
male,4,31,0,,1,disagree,0,
female,5,27,0,,1,strong agree,0,
female,3,21,0,,0,neutral,0,
female,5,41,1,17,1,neutral,0,0
