country,year,gdp_per_cap
Argentina,1921,5946
Argentina,1922,6228
Argentina,1923,6677
Argentina,1924,6947
Argentina,1925,6714
Argentina,1926,6842
Argentina,1927,7119
Argentina,1928,7351
Argentina,1929,7481
Argentina,1930,6988
Argentina,1931,6358
Argentina,1932,6033
Argentina,1933,6203
Argentina,1934,6586
Argentina,1935,6766
Argentina,1936,6701
Argentina,1937,7067
Argentina,1938,6975
Argentina,1939,7105
Argentina,1940,7128
Argentina,1941,7373
Argentina,1942,7339
Argentina,1943,7164
Argentina,1944,7844
Argentina,1945,7462
Argentina,1946,7991
Argentina,1947,8718
Argentina,1948,8996
Argentina,1949,8646
Argentina,1950,8542
Argentina,1951,8425
Argentina,1952,7573
Argentina,1953,7985
Argentina,1954,8249
Argentina,1955,8681
Argentina,1956,8696
Argentina,1957,9069
Argentina,1958,9554
Argentina,1959,8665
Argentina,1960,8928
Argentina,1961,9455
Argentina,1962,9197
Argentina,1963,8877
Argentina,1964,9685
Argentina,1965,10458
Argentina,1966,10422
Argentina,1967,10598
Argentina,1968,10943
Argentina,1969,11761
Argentina,1970,12259
Argentina,1971,12699
Argentina,1972,12934
Argentina,1973,13551
Argentina,1974,14250
Argentina,1975,13953
Argentina,1976,13746
Argentina,1977,14399
Argentina,1978,13601
Argentina,1979,14400
Argentina,1980,14431
Argentina,1981,13441
Argentina,1982,12865
Argentina,1983,13179
Argentina,1984,13313
Argentina,1985,12313
Argentina,1986,13077
Argentina,1987,13276
Argentina,1988,12897
Argentina,1989,11979
Argentina,1990,11878
Argentina,1991,13006
Argentina,1992,14222
Argentina,1993,14993
Argentina,1994,15748
Argentina,1995,15192
Argentina,1996,15929
Argentina,1997,16353
Argentina,1998,16217
Argentina,1999,15150
Argentina,2000,14918
Argentina,2001,13913
Argentina,2002,11871
Argentina,2003,12636
Argentina,2004,13664
Argentina,2005,14832
Argentina,2006,15871
Argentina,2007,17303
Argentina,2008,18283
Argentina,2009,16893
Argentina,2010,18660
Argentina,2011,20003
Argentina,2012,19841
Argentina,2013,19876
Argentina,2014,19000
Argentina,2015,19316
Argentina,2016,18695
Bolivia,1921,999
Bolivia,1922,1082
Bolivia,1923,1085
Bolivia,1924,1122
Bolivia,1925,1158
Bolivia,1926,1165
Bolivia,1927,1237
Bolivia,1928,1273
Bolivia,1929,1311
Bolivia,1930,1232
Bolivia,1931,1102
Bolivia,1932,1015
Bolivia,1933,1056
Bolivia,1934,1134
Bolivia,1935,1174
Bolivia,1936,1205
Bolivia,1937,1287
Bolivia,1938,1313
Bolivia,1939,1344
Bolivia,1940,1441
Bolivia,1941,1525
Bolivia,1942,1545
Bolivia,1943,1579
Bolivia,1944,1561
Bolivia,1945,1603
Bolivia,1946,1562
Bolivia,1947,1511
Bolivia,1948,1614
Bolivia,1949,1666
Bolivia,1950,1627
Bolivia,1951,1751
Bolivia,1952,1741
Bolivia,1953,1507
Bolivia,1954,1521
Bolivia,1955,1520
Bolivia,1956,1372
Bolivia,1957,1266
Bolivia,1958,1233
Bolivia,1959,1245
Bolivia,1960,1237
Bolivia,1961,1250
Bolivia,1962,1247
Bolivia,1963,1309
Bolivia,1964,1358
Bolivia,1965,1397
Bolivia,1966,1488
Bolivia,1967,1546
Bolivia,1968,1683
Bolivia,1969,1713
Bolivia,1970,1759
Bolivia,1971,1809
Bolivia,1972,1757
Bolivia,1973,1897
Bolivia,1974,2116
Bolivia,1975,2162
Bolivia,1976,2240
Bolivia,1977,2267
Bolivia,1978,2201
Bolivia,1979,2230
Bolivia,1980,2229
Bolivia,1981,2238
Bolivia,1982,2122
Bolivia,1983,2060
Bolivia,1984,2140
Bolivia,1985,2251
Bolivia,1986,2206
Bolivia,1987,2259
Bolivia,1988,2006
Bolivia,1989,2049
Bolivia,1990,2151
Bolivia,1991,2235
Bolivia,1992,2292
Bolivia,1993,2380
Bolivia,1994,2534
Bolivia,1995,2774
Bolivia,1996,3027
Bolivia,1997,3029
Bolivia,1998,3054
Bolivia,1999,3008
Bolivia,2000,2984
Bolivia,2001,3057
Bolivia,2002,3158
Bolivia,2003,3251
Bolivia,2004,3393
Bolivia,2005,3592
Bolivia,2006,3724
Bolivia,2007,3882
Bolivia,2008,4305
Bolivia,2009,4434
Bolivia,2010,4805
Bolivia,2011,5331
Bolivia,2012,5548
Bolivia,2013,5823
Bolivia,2014,5784
Bolivia,2015,5969
Bolivia,2016,6118
Brazil,1921,860
Brazil,1922,901
Brazil,1923,933
Brazil,1924,914
Brazil,1925,899
Brazil,1926,900
Brazil,1927,946
Brazil,1928,1034
Brazil,1929,1015
Brazil,1930,936
Brazil,1931,896
Brazil,1932,909
Brazil,1933,960
Brazil,1934,1020
Brazil,1935,1026
Brazil,1936,1102
Brazil,1937,1116
Brazil,1938,1139
Brazil,1939,1127
Brazil,1940,1115
Brazil,1941,1167
Brazil,1942,1097
Brazil,1943,1221
Brazil,1944,1237
Brazil,1945,1241
Brazil,1946,1340
Brazil,1947,1355
Brazil,1948,1452
Brazil,1949,1527
Brazil,1950,1549
Brazil,1951,1544
Brazil,1952,1632
Brazil,1953,1660
Brazil,1954,1747
Brazil,1955,1856
Brazil,1956,1849
Brazil,1957,1913
Brazil,1958,2059
Brazil,1959,2124
Brazil,1960,2280
Brazil,1961,2442
Brazil,1962,2559
Brazil,1963,2519
Brazil,1964,2527
Brazil,1965,2509
Brazil,1966,2626
Brazil,1967,2738
Brazil,1968,2912
Brazil,1969,2966
Brazil,1970,3275
Brazil,1971,3576
Brazil,1972,3899
Brazil,1973,4291
Brazil,1974,4540
Brazil,1975,4639
Brazil,1976,4904
Brazil,1977,4903
Brazil,1978,4976
Brazil,1979,5184
Brazil,1980,5052
Brazil,1981,5133
Brazil,1982,5162
Brazil,1983,4987
Brazil,1984,5041
Brazil,1985,5207
Brazil,1986,5835
Brazil,1987,5880
Brazil,1988,5792
Brazil,1989,5832
Brazil,1990,5647
Brazil,1991,5901
Brazil,1992,5999
Brazil,1993,6359
Brazil,1994,7051
Brazil,1995,8073
Brazil,1996,9500
Brazil,1997,9121
Brazil,1998,8661
Brazil,1999,8279
Brazil,2000,8316
Brazil,2001,8188
Brazil,2002,8190
Brazil,2003,8038
Brazil,2004,8365
Brazil,2005,8639
Brazil,2006,9324
Brazil,2007,10264
Brazil,2008,11352
Brazil,2009,11700
Brazil,2010,13418
Brazil,2011,14831
Brazil,2012,14702
Brazil,2013,14943
Brazil,2014,14825
Brazil,2015,15377
Brazil,2016,13479
Chile,1921,2788
Chile,1922,2854
Chile,1923,3376
Chile,1924,3574
Chile,1925,3668
Chile,1926,3517
Chile,1927,3400
Chile,1928,4195
Chile,1929,4248
Chile,1930,3647
Chile,1931,2920
Chile,1932,2207
Chile,1933,2707
Chile,1934,3193
Chile,1935,3374
Chile,1936,3429
Chile,1937,3802
Chile,1938,3793
Chile,1939,3819
Chile,1940,3873
Chile,1941,3808
Chile,1942,3860
Chile,1943,3897
Chile,1944,3897
Chile,1945,4155
