ur,q2,q1,b12,b21,ing4,vb3n,braantip1,ed,q3cn,q10new,gi0n,d6,capital1,municipio,problem_corruption,problem_unemployment,problem_crime
Urbano,44,Hombre,7,6,6,Jair Bolsonaro (PSL),4,9,Evangélica y Pentecostal,9,Diariamente,1,En contra,BURITIS,no,no,no
Urbano,29,Hombre,7,5,7,Jair Bolsonaro (PSL),1,11,Católico,9,Diariamente,1,En contra,RIO BRANCO,no,no,no
Urbano,39,Hombre,6,1,1,Fernando Haddad (PT),1,9,Católico,9,Diariamente,6,A Favor,RIO BRANCO,no,no,no
Rural,44,Hombre,5,4,3,Fernando Haddad (PT),10,6,Católico,3,Algunas veces a la semana,1,En contra,MANAQUIRI,no,no,no
Urbano,51,Mujer,7,4,6,Jair Bolsonaro (PSL),1,4,Evangélica y Pentecostal,NA,Diariamente,1,En contra,BELÉM,no,yes,no
Urbano,46,Hombre,7,2,7,Ciro Gomes (PDT),1,5,Católico,1,Diariamente,1,A Favor,SANTARÉM,no,yes,no
Urbano,22,Mujer,6,5,4,Jair Bolsonaro (PSL),2,11,Evangélica y Pentecostal,1,Diariamente,1,En contra,ITACOATIARA,no,no,no
Rural,16,Hombre,7,4,1,No Aplica,1,4,Evangélica y Pentecostal,3,Algunas veces a la semana,1,En contra,CODAJÁS,no,no,no
Urbano,41,Mujer,7,1,6,No sabe,1,11,Católico,7,Diariamente,1,En contra,ITACOATIARA,no,yes,no
Rural,16,Mujer,4,1,4,No Aplica,2,9,Evangélica y Pentecostal,0,Algunas veces a la semana,6,A Favor,MANAQUIRI,no,yes,no
Rural,52,Mujer,7,7,7,No Aplica,10,1,Evangélica y Pentecostal,1,Nunca,1,En contra,CODAJÁS,no,no,no
Urbano,18,Hombre,7,7,7,Jair Bolsonaro (PSL),1,7,Evangélica y Pentecostal,5,Diariamente,3,A Favor,BURITIS,no,no,no
Urbano,29,Hombre,4,1,5,Jair Bolsonaro (PSL),1,11,Católico,13,Diariamente,8,En contra,BURITIS,no,no,no
Urbano,55,Mujer,NA,1,7,Jair Bolsonaro (PSL),1,11,"Protestante, Protestante Tradicional o Protestante no Evangélico",2,Diariamente,1,En contra,MONTE ALEGRE,no,no,no
Urbano,48,Mujer,7,1,7,Fernando Haddad (PT),1,8,"Protestante, Protestante Tradicional o Protestante no Evangélico",6,Diariamente,1,En contra,MANAUS,yes,no,no
Urbano,32,Mujer,7,6,6,No Aplica,1,11,Católico,7,Algunas veces a la semana,1,En contra,BURITIS,no,no,no
Urbano,25,Hombre,6,4,6,Jair Bolsonaro (PSL),5,11,Católico,3,Diariamente,9,En contra,MANAUS,no,no,no
Urbano,60,Hombre,5,4,NA,Jair Bolsonaro (PSL),5,7,Evangélica y Pentecostal,10,Algunas veces a la semana,1,En contra,ITACOATIARA,no,no,no
Urbano,38,Mujer,1,1,4,Jair Bolsonaro (PSL),1,8,Evangélica y Pentecostal,13,Diariamente,1,A Favor,RIO BRANCO,no,yes,no
Rural,20,Mujer,5,2,3,No Aplica,9,11,Católico,3,Algunas veces a la semana,8,En contra,MANAQUIRI,no,no,no
Urbano,30,Mujer,2,1,6,Ciro Gomes (PDT),1,11,Agnóstico o ateo (no cree en Dios),4,Diariamente,5,En contra,BOA VISTA,yes,no,no
Rural,38,Hombre,5,3,7,Jair Bolsonaro (PSL),7,16,Católico,8,Diariamente,6,A Favor,SANTANA DO ARAGUAIA,yes,no,no
Urbano,18,Hombre,6,2,4,Jair Bolsonaro (PSL),1,11,Católico,6,Algunas veces a la semana,5,A Favor,MONTE ALEGRE,yes,no,no
Urbano,26,Mujer,6,1,6,Ninguno (fue a votar pero dejó la boleta en blanco),1,17,Ninguna (Cree en un Ser Superior pero no pertenece a ninguna religión),14,Diariamente,10,No responde,PORTO VELHO,no,no,no
Urbano,18,Mujer,7,3,3,No sabe,1,11,Evangélica y Pentecostal,16,Diariamente,1,A Favor,ITACOATIARA,no,no,no
Urbano,59,Mujer,6,2,3,Jair Bolsonaro (PSL),1,5,Evangélica y Pentecostal,9,Diariamente,1,A Favor,BELÉM,no,no,no
Urbano,47,Mujer,2,1,7,Ninguno (anuló su voto),1,11,Agnóstico o ateo (no cree en Dios),16,Diariamente,5,A Favor,ITACOATIARA,no,no,no
Urbano,33,Hombre,2,1,1,No Aplica,2,11,Evangélica y Pentecostal,7,Diariamente,1,En contra,BELÉM,no,no,no
Urbano,32,Hombre,7,1,7,Jair Bolsonaro (PSL),1,11,Ninguna (Cree en un Ser Superior pero no pertenece a ninguna religión),3,Diariamente,10,En contra,BELÉM,no,no,no
Urbano,20,Mujer,7,5,5,Jair Bolsonaro (PSL),1,11,Evangélica y Pentecostal,4,Nunca,1,A Favor,RIO BRANCO,no,yes,no
Urbano,33,Hombre,6,3,5,João Amoêdo (NOVO),3,17,Católico,14,Diariamente,10,En contra,ITACOATIARA,yes,no,no
Urbano,41,Mujer,4,1,5,No Aplica,1,11,Ninguna (Cree en un Ser Superior pero no pertenece a ninguna religión),10,Diariamente,10,A Favor,BURITIS,no,yes,no
Urbano,47,Hombre,7,6,7,Jair Bolsonaro (PSL),3,7,Evangélica y Pentecostal,8,Diariamente,1,A Favor,RIO BRANCO,no,no,no
Urbano,42,Hombre,7,1,6,Jair Bolsonaro (PSL),7,6,Católico,7,Diariamente,3,En contra,MANAUS,no,no,no
Urbano,45,Hombre,3,1,3,Otro,4,11,"Protestante, Protestante Tradicional o Protestante no Evangélico",8,Diariamente,2,En contra,MANAUS,no,yes,no
Urbano,49,Hombre,5,1,4,Jair Bolsonaro (PSL),1,17,Católico,13,Algunas veces a la semana,5,En contra,PORTO VELHO,yes,no,no
Urbano,30,Hombre,7,2,5,Jair Bolsonaro (PSL),1,11,Evangélica y Pentecostal,6,Algunas veces a la semana,2,A Favor,RIO BRANCO,no,no,no
Urbano,30,Hombre,7,1,7,Jair Bolsonaro (PSL),1,8,Católico,12,Diariamente,10,A Favor,MONTE ALEGRE,no,yes,no
Urbano,46,Mujer,1,1,2,Fernando Haddad (PT),10,11,Católico,9,Diariamente,7,A Favor,MANAUS,no,yes,no
Urbano,16,Hombre,7,4,7,No Aplica,10,7,Evangélica y Pentecostal,1,Diariamente,10,En contra,MANAUS,no,no,no
