r_id,pais,ur,q2,q1,clien1,ed,tamano,cp5,cp8,cp9,cp13,q10
1,Mexico,Urban,63,Male,Nunca,1,Small City,2,2,2,1,4
2,Mexico,Rural,19,Male,Nunca,9,Rural Area,4,4,4,4,5
3,Mexico,Urban,55,Male,Nunca,4,National Capital (Metropolitan area),4,4,4,4,0
4,Mexico,Urban,38,Male,Nunca,9,Large City,4,4,4,4,5
5,Mexico,Urban,20,Male,Nunca,15,Small City,4,4,4,4,9
6,Mexico,Urban,82,Male,Nunca,1,Small City,4,4,4,4,3
7,Mexico,Rural,28,Male,Nunca,12,Rural Area,4,4,4,4,5
8,Mexico,Rural,46,Female,Frecuentemente,9,Rural Area,3,2,3,4,2
9,Mexico,Urban,24,Female,Nunca,9,Small City,4,4,4,4,0
10,Mexico,Urban,68,Female,Nunca,0,Small City,4,4,4,4,5
11,Mexico,Urban,21,Male,Nunca,14,Large City,3,4,4,4,6
12,Mexico,Rural,43,Male,Nunca,9,Rural Area,4,4,4,4,1
13,Mexico,Urban,30,Female,Nunca,12,Large City,2,3,2,3,7
14,Mexico,Rural,73,Male,Nunca,0,Rural Area,4,4,4,4,4
15,Mexico,Urban,38,Female,Nunca,9,National Capital (Metropolitan area),4,4,4,4,3
16,Mexico,Rural,33,Female,Rara vez,8,Large City,4,4,4,4,3
17,Mexico,Rural,59,Female,Nunca,2,Rural Area,4,2,4,4,1
18,Mexico,Rural,24,Male,Nunca,16,Rural Area,2,3,3,3,10
19,Mexico,Urban,20,Female,Rara vez,13,National Capital (Metropolitan area),2,2,4,2,2
20,Mexico,Urban,43,Female,Nunca,8,Small City,3,3,4,4,4
21,Mexico,Urban,24,Male,Nunca,17,National Capital (Metropolitan area),4,4,4,4,9
22,Mexico,Urban,40,Male,Nunca,15,Large City,4,4,2,4,NA
23,Mexico,Urban,51,Male,Nunca,6,Small City,3,4,4,4,3
24,Mexico,Urban,26,Male,Nunca,18,Small City,4,4,3,4,4
25,Mexico,Rural,62,Female,Nunca,2,Rural Area,4,3,4,4,3
26,Mexico,Urban,18,Female,Nunca,9,Large City,4,4,4,4,5
27,Mexico,Urban,63,Male,Not Applicable,12,Large City,4,4,4,4,4
28,Mexico,Rural,46,Male,Nunca,11,Rural Area,4,2,3,4,5
29,Mexico,Rural,25,Male,Nunca,9,Rural Area,4,4,4,3,5
30,Mexico,Urban,61,Female,Nunca,17,Large City,4,4,4,4,NA
31,Mexico,Urban,64,Female,Nunca,6,National Capital (Metropolitan area),4,4,4,4,8
32,Mexico,Urban,29,Female,Nunca,12,Large City,4,4,4,1,7
33,Mexico,Rural,65,Male,Frecuentemente,6,Rural Area,3,3,2,4,4
34,Mexico,Urban,35,Female,Nunca,12,Large City,4,4,4,4,8
35,Mexico,Urban,69,Female,Rara vez,6,National Capital (Metropolitan area),4,4,4,4,4
36,Mexico,Urban,50,Male,Nunca,4,Small City,2,2,4,3,NA
37,Mexico,Rural,34,Female,Nunca,9,Medium City,4,4,4,4,2
38,Mexico,Urban,52,Female,Nunca,6,Large City,4,4,4,4,1
39,Mexico,Urban,18,Male,Nunca,6,Medium City,4,4,4,4,1
40,Mexico,Rural,64,Male,Nunca,5,Rural Area,4,4,4,4,5
