r_id,pais,ed,jc10,aoj11,q1,aoj12,b18,infrax,e16,aoj22,q3c,q5b,q10new_14,etid,vic1ext,vicbar7
1,Mexico,12,0,Somewhat Unsafe,Male,Some,3,Between 10 and 30 minutes,5,Both,Catholic,Somewhat Important,NA,White,0,0
2,Mexico,16,1,Very Unsafe,Male,None,3,More than 1 hour and up to 3 hours,5,Implement preventative measures,Catholic,Very Important,NA,Mestizo,1,1
3,Mexico,9,0,Somewhat Unsafe,Female,Little,3,More than 1 hour and up to 3 hours,4,Implement preventative measures,Catholic,Very Important,12,Don't Know,0,0
4,Mexico,6,0,Very Safe,Male,Little,3,More than 1 hour and up to 3 hours,7,Increase punishment of criminal,Catholic,Very Important,16,Mestizo,0,1
5,Mexico,9,1,Very Safe,Male,A lot,7,More than 30 minutes and up to an hour,3,Implement preventative measures,Catholic,Somewhat Important,15,Mestizo,0,0
6,Mexico,9,1,Somewhat Safe,Male,Little,4,Less than 10 minutes,1,Both,Evangelical and Protestant,Very Important,NA,Indigenous,0,0
7,Mexico,7,0,Somewhat Unsafe,Female,Some,2,More than 1 hour and up to 3 hours,2,Implement preventative measures,Catholic,Very Important,8,Don't Know,0,0
8,Mexico,9,0,Somewhat Safe,Male,None,1,[Don't Read] There are no police/they would not come,1,Increase punishment of criminal,Catholic,Somewhat Important,12,Mestizo,0,0
9,Mexico,18,0,Somewhat Safe,Female,None,3,Less than 10 minutes,8,Implement preventative measures,Catholic,Somewhat Important,11,Mestizo,1,0
10,Mexico,9,0,Somewhat Safe,Female,Some,1,Less than 10 minutes,5,Increase punishment of criminal,None (Believes in a Supreme Entity but does not belong to any religion),Not Very Important,12,White,0,0
11,Mexico,9,0,Very Safe,Female,Little,3,More than 30 minutes and up to an hour,3,Implement preventative measures,Catholic,Somewhat Important,NA,Mestizo,0,1
12,Mexico,12,1,Somewhat Unsafe,Male,Little,1,More than 3 hours,1,Implement preventative measures,Catholic,Very Important,7,Mestizo,0,1
13,Mexico,9,1,Somewhat Safe,Female,Little,3,Between 10 and 30 minutes,4,Increase punishment of criminal,Catholic,Somewhat Important,NA,Mestizo,0,1
14,Mexico,9,1,Very Unsafe,Male,None,1,More than 30 minutes and up to an hour,1,Implement preventative measures,"Protestant, Mainline Protestant or Protestant non-Evangelical",Very Important,12,White,1,1
15,Mexico,9,NA,Very Unsafe,Female,None,1,More than 1 hour and up to 3 hours,10,Both,Catholic,Somewhat Important,NA,No Response,0,0
16,Mexico,0,1,Somewhat Unsafe,Female,Some,1,More than 1 hour and up to 3 hours,8,Increase punishment of criminal,Catholic,Not Important at All,0,Don't Know,0,0
17,Mexico,6,0,Somewhat Unsafe,Female,Little,2,[Don't Read] There are no police/they would not come,1,Increase punishment of criminal,Catholic,Somewhat Important,6,Mestizo,0,0
18,Mexico,6,1,Somewhat Safe,Male,None,5,Between 10 and 30 minutes,2,Implement preventative measures,Catholic,Not Very Important,NA,Mestizo,0,NA
19,Mexico,6,NA,Very Safe,Female,Some,4,Don't Know,10,Implement preventative measures,Catholic,Somewhat Important,NA,Don't Know,0,NA
20,Mexico,12,1,Somewhat Safe,Male,Some,5,Between 10 and 30 minutes,1,Implement preventative measures,Catholic,Very Important,14,Mestizo,1,0
21,Mexico,18,1,Somewhat Safe,Male,Little,6,Between 10 and 30 minutes,1,Both,Catholic,Somewhat Important,12,White,0,0
22,Mexico,11,0,Somewhat Unsafe,Female,A lot,1,More than 30 minutes and up to an hour,4,Increase punishment of criminal,Catholic,Very Important,NA,White,0,1
23,Mexico,11,1,Somewhat Safe,Female,A lot,3,More than 1 hour and up to 3 hours,9,Both,Catholic,Not Very Important,10,Mestizo,1,0
24,Mexico,13,1,Somewhat Safe,Male,Little,5,Between 10 and 30 minutes,2,Increase punishment of criminal,Catholic,Not Very Important,5,Mestizo,0,0
25,Mexico,6,1,Somewhat Safe,Female,Little,7,Between 10 and 30 minutes,1,Increase punishment of criminal,Catholic,Somewhat Important,NA,White,0,0
26,Mexico,16,1,Somewhat Unsafe,Male,Little,3,More than 1 hour and up to 3 hours,2,Increase punishment of criminal,Traditional or Native Religion,Not Very Important,NA,Mestizo,1,0
27,Mexico,9,0,Somewhat Safe,Male,Little,5,Between 10 and 30 minutes,8,Increase punishment of criminal,Catholic,Somewhat Important,NA,Mestizo,0,0
28,Mexico,0,0,Somewhat Safe,Female,None,4,Between 10 and 30 minutes,5,Both,None (Believes in a Supreme Entity but does not belong to any religion),Not Important at All,NA,Indigenous,0,0
29,Mexico,0,0,Very Safe,Male,Some,5,More than 1 hour and up to 3 hours,1,Don't Know,Evangelical and Protestant,Very Important,3,Indigenous,0,0
30,Mexico,12,1,Somewhat Unsafe,Male,Some,1,More than 30 minutes and up to an hour,8,Increase punishment of criminal,"Protestant, Mainline Protestant or Protestant non-Evangelical",Very Important,NA,White,0,0
31,Mexico,9,1,Somewhat Safe,Female,None,1,More than 3 hours,7,Increase punishment of criminal,Catholic,Not Very Important,4,Mulatto,0,0
32,Mexico,17,0,Somewhat Safe,Female,None,3,More than 1 hour and up to 3 hours,5,Both,"Protestant, Mainline Protestant or Protestant non-Evangelical",Very Important,NA,Mestizo,0,0
33,Mexico,16,1,Very Unsafe,Male,Little,2,Less than 10 minutes,10,Increase punishment of criminal,Catholic,Not Very Important,NA,Don't Know,1,0
34,Mexico,16,1,Somewhat Unsafe,Female,Little,5,More than 1 hour and up to 3 hours,2,Increase punishment of criminal,Church of Latter Day Saints (Mormon),Somewhat Important,NA,White,0,1
35,Mexico,12,1,Very Unsafe,Male,None,3,More than 30 minutes and up to an hour,6,Increase punishment of criminal,Catholic,Very Important,12,Mestizo,1,1
36,Mexico,12,1,Very Unsafe,Female,None,1,More than 1 hour and up to 3 hours,1,Implement preventative measures,"Protestant, Mainline Protestant or Protestant non-Evangelical",Very Important,NA,Mestizo,1,1
37,Mexico,6,0,Somewhat Safe,Female,Little,5,More than 30 minutes and up to an hour,1,Implement preventative measures,Catholic,Not Very Important,3,White,0,0
38,Mexico,12,1,Somewhat Unsafe,Female,Little,3,More than 1 hour and up to 3 hours,7,Implement preventative measures,Catholic,Somewhat Important,13,Mestizo,1,0
39,Mexico,17,0,Somewhat Unsafe,Female,Little,4,Between 10 and 30 minutes,2,Both,Catholic,Somewhat Important,16,Mestizo,0,0
40,Mexico,12,0,Very Safe,Male,Some,2,Less than 10 minutes,1,Increase punishment of criminal,"Protestant, Mainline Protestant or Protestant non-Evangelical",Very Important,3,Mestizo,0,0
41,Mexico,9,1,Somewhat Safe,Male,Don't Know,5,More than 1 hour and up to 3 hours,NA,Implement preventative measures,No Response,No Response,11,Mestizo,0,NA
42,Mexico,6,0,Somewhat Safe,Male,Little,4,Don't Know,7,Both,Traditional or Native Religion,Very Important,9,White,0,0
43,Mexico,6,0,Very Unsafe,Female,None,2,[Don't Read] There are no police/they would not come,2,Increase punishment of criminal,Catholic,Very Important,6,Mestizo,0,0
44,Mexico,9,1,Somewhat Safe,Female,Some,5,Don't Know,1,Implement preventative measures,Catholic,Very Important,9,White,0,1
45,Mexico,12,0,Somewhat Safe,Male,Little,2,Between 10 and 30 minutes,3,Increase punishment of criminal,Catholic,Very Important,NA,Mestizo,0,1
46,Mexico,9,NA,Very Safe,Female,Little,5,Less than 10 minutes,1,Both,Catholic,Somewhat Important,11,Mestizo,0,0
47,Mexico,3,0,Somewhat Safe,Female,Some,5,Between 10 and 30 minutes,5,Increase punishment of criminal,Catholic,Very Important,8,White,0,0
48,Mexico,9,0,Somewhat Safe,Female,Little,6,Between 10 and 30 minutes,1,Increase punishment of criminal,Catholic,Very Important,6,Indigenous,1,0
49,Mexico,9,0,Somewhat Unsafe,Female,Little,4,More than 30 minutes and up to an hour,6,Increase punishment of criminal,None (Believes in a Supreme Entity but does not belong to any religion),Not Important at All,3,Mestizo,0,1
50,Mexico,4,0,Very Unsafe,Female,None,1,More than 3 hours,10,Increase punishment of criminal,Catholic,Very Important,8,Mestizo,1,1
51,Mexico,4,NA,Somewhat Unsafe,Female,None,1,Don't Know,8,Implement preventative measures,No Response,No Response,NA,Mestizo,0,1
52,Mexico,11,1,Somewhat Safe,Female,Little,4,Less than 10 minutes,4,Implement preventative measures,Catholic,Very Important,NA,White,0,0
53,Mexico,18,0,Somewhat Safe,Male,Some,4,More than 1 hour and up to 3 hours,5,Implement preventative measures,Catholic,Not Very Important,14,Mestizo,1,0
54,Mexico,1,0,Somewhat Unsafe,Female,Some,1,[Don't Read] There are no police/they would not come,1,Increase punishment of criminal,Catholic,Very Important,5,Black,0,0
55,Mexico,9,0,Somewhat Safe,Male,A lot,6,Between 10 and 30 minutes,4,Implement preventative measures,Catholic,Very Important,15,Mestizo,0,0
56,Mexico,9,1,Don't Know,Male,None,4,Don't Know,1,Implement preventative measures,Catholic,Somewhat Important,NA,Mestizo,0,1
