r_id,pais,ed,q10new_18,r1,r3,r4,r4a,r5,r6,r7,r8,r12,r14,r15,r16,r18,ur,q14,fs2,fs8,wf1
1,Honduras,6,0,1,1,0,1,0,0,0,0,1,1,0,0,0,Rural,1,0,0,0
2,Honduras,6,5,1,1,0,1,1,0,0,0,1,1,0,0,0,Rural,0,0,0,0
3,Honduras,12,3,1,1,0,1,0,1,1,0,0,1,0,1,1,Urban,1,1,1,0
4,Honduras,6,2,0,0,1,0,0,0,0,0,0,0,0,NA,0,Rural,1,1,1,0
5,Honduras,9,0,1,1,0,1,0,0,0,0,0,0,0,1,0,Rural,0,1,0,0
6,Honduras,6,NA,1,0,0,1,0,0,0,0,0,0,0,0,0,Rural,0,0,0,0
7,Honduras,6,9,1,1,1,1,0,1,1,0,1,1,0,1,0,Urban,0,0,0,0
8,Honduras,6,2,0,0,0,0,0,0,1,0,1,0,0,NA,0,Urban,1,0,0,0
9,Honduras,9,NA,1,1,0,1,0,0,0,0,1,1,1,0,1,Urban,0,1,0,0
10,Honduras,6,15,0,0,0,1,0,0,0,0,0,0,0,NA,0,Rural,1,1,1,0
11,Honduras,18,13,1,1,0,1,0,0,1,0,1,1,1,1,1,Urban,0,0,0,0
12,Honduras,17,15,1,1,0,1,1,1,1,0,1,1,1,1,1,Rural,0,0,0,0
13,Honduras,14,14,1,0,0,1,0,1,1,0,1,1,0,0,0,Urban,0,0,0,0
14,Honduras,6,12,1,1,0,1,0,0,0,0,0,0,0,0,0,Rural,1,0,0,1
15,Honduras,10,4,1,0,0,1,0,0,0,0,0,1,0,0,0,Urban,1,1,1,0
16,Honduras,12,NA,1,1,0,0,0,0,0,0,1,1,0,0,0,Rural,1,1,1,0
17,Honduras,7,10,1,1,0,1,0,1,1,1,1,1,0,0,1,Rural,0,0,0,0
18,Honduras,11,11,1,1,0,1,0,0,0,0,0,0,0,0,0,Rural,1,1,1,0
19,Honduras,9,9,1,1,0,1,1,0,0,1,1,0,0,1,0,Rural,0,0,0,0
20,Honduras,1,NA,1,1,0,1,1,0,1,1,0,1,1,1,0,Urban,0,0,0,0
21,Honduras,6,7,1,1,0,1,0,0,0,0,1,1,0,1,1,Rural,1,0,0,0
22,Honduras,9,1,1,1,0,1,0,0,0,1,0,0,0,1,0,Rural,0,0,0,0
23,Honduras,8,11,1,0,0,1,0,0,1,1,1,1,0,0,1,Urban,0,0,0,0
24,Honduras,6,15,1,1,0,1,1,1,1,0,1,1,0,1,0,Urban,0,0,0,0
25,Honduras,8,8,1,1,1,1,0,1,1,0,1,1,0,1,1,Urban,0,0,0,0
