r_id,pais,etid,colorr,ed
1,Mexico,White,3,12
2,Mexico,Mestizo,7,16
3,Mexico,Don't Know,5,9
4,Mexico,Mestizo,4,6
5,Mexico,Mestizo,6,9
6,Mexico,Indigenous,4,9
7,Mexico,Don't Know,4,7
8,Mexico,Mestizo,3,9
9,Mexico,Mestizo,5,18
10,Mexico,White,1,9
11,Mexico,Mestizo,3,9
12,Mexico,Mestizo,6,12
13,Mexico,Mestizo,5,9
14,Mexico,White,2,9
15,Mexico,No Response,6,9
16,Mexico,Don't Know,6,0
17,Mexico,Mestizo,5,6
18,Mexico,Mestizo,5,6
19,Mexico,Don't Know,6,6
20,Mexico,Mestizo,7,12
21,Mexico,White,3,18
22,Mexico,White,4,11
23,Mexico,Mestizo,4,11
24,Mexico,Mestizo,5,13
25,Mexico,White,4,6
26,Mexico,Mestizo,5,16
27,Mexico,Mestizo,4,9
28,Mexico,Indigenous,5,0
29,Mexico,Indigenous,4,0
30,Mexico,White,4,12
31,Mexico,Mulatto,3,9
32,Mexico,Mestizo,4,17
33,Mexico,Don't Know,5,16
34,Mexico,White,2,16
35,Mexico,Mestizo,3,12
36,Mexico,Mestizo,2,12
37,Mexico,White,4,6
38,Mexico,Mestizo,1,12
39,Mexico,Mestizo,3,17
40,Mexico,Mestizo,3,12
41,Mexico,Mestizo,4,9
42,Mexico,White,3,6
43,Mexico,Mestizo,4,6
44,Mexico,White,4,9
45,Mexico,Mestizo,3,12
46,Mexico,Mestizo,5,9
47,Mexico,White,3,3
48,Mexico,Indigenous,4,9
49,Mexico,Mestizo,5,9
50,Mexico,Mestizo,6,4
51,Mexico,Mestizo,2,4
52,Mexico,White,1,11
53,Mexico,Mestizo,5,18
54,Mexico,Black,5,1
55,Mexico,Mestizo,8,9
56,Mexico,Mestizo,6,9
57,Mexico,Mestizo,2,12
58,Mexico,Mestizo,4,17
59,Mexico,Mestizo,3,12
60,Mexico,Mestizo,5,9
61,Mexico,White,1,6
62,Mexico,Don't Know,7,6
63,Mexico,Mestizo,3,8
64,Mexico,Indigenous,6,9
65,Mexico,Don't Know,5,6
66,Mexico,White,3,9
67,Mexico,White,4,9
68,Mexico,Mestizo,9,17
69,Mexico,Don't Know,6,2
70,Mexico,Mestizo,4,6
71,Mexico,Don't Know,6,6
72,Mexico,Indigenous,4,9
73,Mexico,White,3,9
74,Mexico,Don't Know,5,6
75,Mexico,Indigenous,6,12
76,Mexico,Mestizo,2,11
77,Mexico,Mestizo,3,12
78,Mexico,Mestizo,5,3
79,Mexico,Indigenous,5,17
80,Mexico,White,3,6
81,Mexico,Mestizo,6,9
82,Mexico,Mestizo,6,9
83,Mexico,Don't Know,4,9
84,Mexico,Mestizo,3,9
85,Mexico,Mestizo,3,17
86,Mexico,Mestizo,5,12
87,Mexico,Mestizo,2,18
88,Mexico,Mestizo,5,12
89,Mexico,Mestizo,4,6
90,Mexico,Mestizo,4,2
91,Mexico,Mestizo,4,7
92,Mexico,White,1,6
93,Mexico,Mestizo,9,10
94,Mexico,Mestizo,4,12
95,Mexico,Mestizo,4,1
96,Mexico,Mestizo,2,16
97,Mexico,Mestizo,2,6
98,Mexico,Don't Know,5,9
99,Mexico,White,3,18
100,Mexico,Mestizo,4,9
101,Mexico,Mestizo,5,11
102,Mexico,Indigenous,4,6
103,Mexico,Mestizo,2,5
104,Mexico,Mestizo,5,12
105,Mexico,White,4,11
106,Mexico,Don't Know,6,6
107,Mexico,Mestizo,3,8
108,Mexico,Mestizo,5,9
109,Mexico,White,3,6
110,Mexico,Mestizo,4,17
111,Mexico,White,3,16
112,Mexico,Mestizo,3,17
113,Mexico,Mestizo,4,16
114,Mexico,Don't Know,4,6
115,Mexico,Mestizo,3,12
116,Mexico,Mestizo,6,9
117,Mexico,Mestizo,4,12
118,Mexico,Don't Know,4,9
119,Mexico,Mestizo,2,16
120,Mexico,Mestizo,2,1
121,Mexico,Mestizo,5,10
122,Mexico,Mestizo,4,0
123,Mexico,Mestizo,5,16
124,Mexico,Black,8,5
125,Mexico,Mestizo,7,9
126,Mexico,Indigenous,7,0
127,Mexico,Mestizo,5,6
128,Mexico,Mestizo,5,12
129,Mexico,Mestizo,4,9
130,Mexico,Mestizo,4,9
131,Mexico,Mestizo,5,6
132,Mexico,Mestizo,4,12
133,Mexico,Mestizo,5,6
134,Mexico,Don't Know,3,6
135,Mexico,No Response,5,9
136,Mexico,Indigenous,6,11
137,Mexico,Mestizo,4,12
138,Mexico,White,1,9
139,Mexico,Mestizo,4,6
140,Mexico,Mestizo,9,12
141,Mexico,White,3,8
142,Mexico,Indigenous,5,14
143,Mexico,White,4,12
144,Mexico,Mulatto,6,4
145,Mexico,Indigenous,6,3
146,Mexico,Indigenous,4,6
