audiencia,provincia,year,name_approx,military,noble,rprice1,lrprice1,suitindex,lz,distlima,mita,mine,reparto2,lreparto2
Lima,Abancay,1680,Dionisio De Ureta,1,0,NA,NA,0.8286923170089722,8.0309600830078125,516.4863342556647,0,1,NA,NA
Lima,Abancay,1687,Manuel De La Torre Belar,0,0,4088.703369140625,8.315982818603516,0.8286923170089722,8.0309600830078125,516.4863342556647,0,1,NA,NA
Lima,Abancay,1699,Felipe De Mohedas Alvarado,0,1,2943.866455078125,7.987479209899902,0.8286923170089722,8.0309600830078125,516.4863342556647,0,1,NA,NA
Lima,Abancay,1703,Luis Ibanez De Orellana Conde De Torreblanca,0,1,NA,NA,0.8286923170089722,8.0309600830078125,516.4863342556647,0,1,NA,NA
Lima,Abancay,1706,Nicolas Barreto De Castro,1,0,3437.606201171875,8.14253044128418,0.8286923170089722,8.0309600830078125,516.4863342556647,0,1,NA,NA
Lima,Abancay,1708,Domingo Geronimo Amable,0,0,5729.34375,8.653356552124023,0.8286923170089722,8.0309600830078125,516.4863342556647,0,1,NA,NA
Lima,Abancay,1715,Mateo Vazquez,1,0,6957.06005859375,8.847512245178223,0.8286923170089722,8.0309600830078125,516.4863342556647,0,1,NA,NA
Lima,Abancay,1719,Manuel Nunez De Villavicencio Y Granada,1,0,4910.8662109375,8.499205589294434,0.8286923170089722,8.0309600830078125,516.4863342556647,0,1,NA,NA
Lima,Abancay,1730,Esteban Ferrer,0,1,11865.6982421875,9.381406784057617,0.8286923170089722,8.0309600830078125,516.4863342556647,0,1,NA,NA
Lima,Abancay,1735,Jose Pardo De Figueroa,0,1,NA,NA,0.8286923170089722,8.0309600830078125,516.4863342556647,0,1,NA,NA
Lima,Abancay,1748,Joaquin De Varela Santhome,0,0,30061.115234375,10.31098747253418,0.8286923170089722,8.0309600830078125,516.4863342556647,0,1,NA,NA
Lima,Abancay,1751,Antonio Menaut,0,0,NA,NA,0.8286923170089722,8.0309600830078125,516.4863342556647,0,1,NA,NA
Lima,Aimaraes,1687,Joseph De Lizarazu,0,0,3270.962646484375,8.092839241027832,0.2008800059556961,8.07221794128418,488.6154211952273,1,1,86100,11.363265037536621
Lima,Aimaraes,1688,Diego De Villatoro,0,1,1962.5775146484375,7.582014083862305,0.2008800059556961,8.07221794128418,488.6154211952273,1,1,86100,11.363265037536621
