country,year,v2x_polyarchy,v2x_libdem,v2x_partipdem,v2x_delibdem,v2x_egaldem,v2x_freexp_altinf
Argentina,1945,0.098,0.122,0.147,0.095,0.147,0.319
Argentina,1946,0.227,0.191,0.239,0.164,0.234,0.318
Argentina,1947,0.369,0.226,0.233,0.207,0.332,0.395
Argentina,1948,0.403,0.237,0.255,0.225,0.348,0.351
Argentina,1949,0.4,0.229,0.245,0.229,0.347,0.313
Argentina,1950,0.401,0.219,0.249,0.231,0.354,0.29
Argentina,1951,0.375,0.209,0.234,0.214,0.327,0.247
Argentina,1952,0.372,0.21,0.237,0.215,0.327,0.263
Argentina,1953,0.362,0.207,0.231,0.211,0.319,0.233
Argentina,1954,0.344,0.202,0.222,0.201,0.292,0.238
Argentina,1955,0.288,0.104,0.171,0.172,0.234,0.239
Argentina,1956,0.151,0.094,0.151,0.108,0.162,0.32
Argentina,1957,0.19,0.105,0.18,0.118,0.174,0.337
Argentina,1958,0.368,0.226,0.282,0.327,0.275,0.528
Argentina,1959,0.475,0.339,0.293,0.416,0.365,0.707
Argentina,1960,0.497,0.356,0.308,0.435,0.383,0.723
Argentina,1961,0.513,0.356,0.308,0.433,0.392,0.723
Argentina,1962,0.278,0.156,0.178,0.291,0.269,0.655
Argentina,1963,0.297,0.211,0.293,0.318,0.268,0.733
Argentina,1964,0.521,0.392,0.316,0.453,0.394,0.733
Argentina,1965,0.557,0.426,0.333,0.479,0.416,0.743
Argentina,1966,0.297,0.131,0.159,0.316,0.244,0.494
Argentina,1967,0.102,0.09,0.157,0.136,0.139,0.25
Argentina,1968,0.108,0.092,0.158,0.134,0.145,0.275
Argentina,1969,0.108,0.085,0.158,0.134,0.145,0.274
Argentina,1970,0.108,0.087,0.158,0.135,0.149,0.285
Argentina,1971,0.113,0.09,0.158,0.134,0.143,0.338
Argentina,1972,0.127,0.092,0.161,0.137,0.143,0.424
Argentina,1973,0.239,0.171,0.167,0.216,0.193,0.514
Argentina,1974,0.589,0.339,0.384,0.408,0.433,0.7
Argentina,1975,0.555,0.346,0.359,0.395,0.41,0.67
Argentina,1976,0.14,0.075,0.13,0.074,0.17,0.143
Argentina,1977,0.071,0.058,0.124,0.063,0.145,0.037
Argentina,1978,0.071,0.052,0.124,0.063,0.145,0.037
Argentina,1979,0.071,0.052,0.124,0.063,0.145,0.037
Argentina,1980,0.071,0.05,0.119,0.063,0.132,0.037
Argentina,1981,0.071,0.05,0.119,0.063,0.141,0.037
Argentina,1982,0.077,0.051,0.12,0.064,0.142,0.055
Argentina,1983,0.128,0.103,0.125,0.204,0.159,0.225
Argentina,1984,0.83,0.603,0.566,0.752,0.695,0.935
Argentina,1985,0.83,0.647,0.55,0.755,0.696,0.938
Argentina,1986,0.829,0.645,0.541,0.749,0.688,0.941
Argentina,1987,0.843,0.668,0.579,0.781,0.705,0.935
Argentina,1988,0.854,0.677,0.579,0.783,0.727,0.935
Argentina,1989,0.829,0.651,0.559,0.759,0.699,0.941
Argentina,1990,0.828,0.609,0.577,0.695,0.651,0.935
Argentina,1991,0.827,0.608,0.58,0.733,0.624,0.934
Argentina,1992,0.826,0.599,0.578,0.721,0.643,0.943
Argentina,1993,0.827,0.604,0.574,0.727,0.644,0.943
Argentina,1994,0.844,0.598,0.591,0.76,0.655,0.938
