fip,state,county,base,ms_pre_2001,ms_post_2001,pop2010,black_2010,hispanic_2010,hs_grad_2010,median_household_income_2010,unemployment_rate_2010,poverty_2010
1001,AL,autauga,0,128.9352640970623,100.45277148134029,54571,17.7,2.4,85.3,53255,8.87,10.6
1003,AL,baldwin,1,433.18322569157755,275.192301165194,182265,9.4,4.4,87.6,50147,9.99,12.2
1005,AL,barbour,0,80.83631130687172,31.708332376474466,27457,46.9,5.1,71.9,33219,12.35,25
1007,AL,bibb,0,56.164300109525364,28.004356815813907,22915,22,1.8,74.5,41770,11.42,12.6
1009,AL,blount,0,125.78875218676738,78.277501797727,57322,1.3,8.1,74.7,45549,9.82,13.4
1011,AL,bullock,0,23.267563447209053,8.138866999945526,10914,70.2,7.1,74.7,31602,11.84,25.3
1013,AL,butler,0,62.66301484082896,25.975607787488233,20947,43.4,0.9,74.8,30659,13.64,25
1015,AL,calhoun,1,339.14076891480823,186.61893543281303,118572,20.6,3.3,78.5,38407,11.37,19.5
1017,AL,chambers,0,104.331882329853,59.26320094351281,34215,38.7,1.6,71.8,31467,14.91,20.3
1019,AL,cherokee,0,76.69150671089153,24.54942115516453,25989,4.6,1.2,73.4,40690,10.63,17.6
1021,AL,chilton,0,109.86105678688041,44.00695589125631,43643,9.7,7.8,75.9,39486,10.27,18.4
1023,AL,choctaw,0,44.210542858279155,23.189170172124154,13859,43.4,0.5,71.1,31076,13.25,18.7
1025,AL,clarke,0,73.74683590429449,36.536802442513135,25833,43.9,1,76.1,27439,19.85,29.2
1027,AL,clay,0,44.16192126747105,14.77518843848567,13932,14.8,2.9,71.4,35595,14.46,18.8
1029,AL,cleburne,0,37.662947477689805,17.556360904416838,14972,3.3,2.1,70.3,36077,10.01,17.1
1031,AL,coffee,1,140.34675166075323,125.36249667011704,49948,16.7,6.4,79.3,42253,8.62,17.2
1033,AL,colbert,0,162.45061093011137,78.47693293691005,54428,16.1,2,80.1,39610,11.45,15.7
1035,AL,conecuh,1,38.74675005388037,11.229909453303842,13228,46.5,1.2,71.3,26944,17.23,30.6
